플랫폼,날짜,순위,게임명,퍼블리셔
구글플레이,2025-07-09,1,리니지M,NCSOFT
구글플레이,2025-07-09,2,오딘: 발할라 라이징,Kakao Games Corp.
구글플레이,2025-07-09,3,마비노기 모바일,NEXON Company
구글플레이,2025-07-09,4,WOS: 화이트아웃 서바이벌,Century Games PTE. LTD.
구글플레이,2025-07-09,5,라스트 워: 서바이벌,FUNFLY PTE. LTD.
구글플레이,2025-07-09,6,RF 온라인 넥스트,Netmarble
구글플레이,2025-07-09,7,붕괴: 스타레일,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-09,8,세븐나이츠 리버스,Netmarble
구글플레이,2025-07-09,9,갓깨비 키우기-999뽑기 증정,Joy Nice Games
구글플레이,2025-07-09,10,Roblox,Roblox Corporation
구글플레이,2025-07-09,11,로얄 매치 Royal Match,"Dream Games, Ltd."
구글플레이,2025-07-09,12,한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯,NHN Corp.
구글플레이,2025-07-09,13,한게임 포커,NHN Corp.
구글플레이,2025-07-09,14,리니지W,NCSOFT
구글플레이,2025-07-09,15,Last Z: Survival Shooter,Florere Game
구글플레이,2025-07-09,16,FC 모바일,NEXON Company
구글플레이,2025-07-09,17,킹샷:Kingshot,Century Games PTE. LTD.
구글플레이,2025-07-09,18,리니지2M,NCSOFT
구글플레이,2025-07-09,19,메이플스토리M,NEXON Company
구글플레이,2025-07-09,20,승리의 여신: 니케,Level Infinite
구글플레이,2025-07-09,21,DK모바일 리본,NTRANCE CORP.
구글플레이,2025-07-09,22,I9: 인페르노 나인 - <나만뉴> 콜라보,"Leniu Technology Co., Limited"
구글플레이,2025-07-09,23,한게임 섯다&맞고,NHN Corp.
구글플레이,2025-07-09,24,레전드 오브 이미르,"Wemade Co., Ltd"
구글플레이,2025-07-09,25,냥코 대전쟁,PONOS Corporation
구글플레이,2025-07-09,26,EA SPORTS FC Online M,NEXON Company
구글플레이,2025-07-09,27,Dark War Survival,Florere Game
구글플레이,2025-07-09,28,소녀전선2: 망명,HaoPlay Limited
구글플레이,2025-07-09,29,명조:워더링 웨이브,HK KURO GAMES LIMITED
구글플레이,2025-07-09,30,씨사이드 익스케이프: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-09,31,탑 히어로즈,RiverGame
구글플레이,2025-07-09,32,운빨존많겜,111%
구글플레이,2025-07-09,33,SD건담 지 제네레이션 이터널,Bandai Namco Entertainment Inc.
구글플레이,2025-07-09,34,가십하버: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-09,35,"피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이",NEOWIZ corp
구글플레이,2025-07-09,36,실버 앤 블러드:뱀파이어 RPG,Vizta Games
구글플레이,2025-07-09,37,브라운더스트2 - 어드벤처 RPG,NEOWIZ
구글플레이,2025-07-09,38,리니지M(12),NCSOFT
구글플레이,2025-07-09,39,트릭컬 리바이브,EPIDGames
구글플레이,2025-07-09,40,아키에이지 워,Kakao Games Corp.
구글플레이,2025-07-09,41,원신,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-09,42,꿈의 정원 (Gardenscapes),Playrix
구글플레이,2025-07-09,43,우마무스메 프리티 더비,Kakao Games Corp.
구글플레이,2025-07-09,44,브롤스타즈,Supercell
구글플레이,2025-07-09,45,쿠키런: 킹덤,Devsisters Corporation
구글플레이,2025-07-09,46,나이트 크로우,"Wemade Co., Ltd"
구글플레이,2025-07-09,47,로드나인,"Smilegate Holdings, Inc"
구글플레이,2025-07-09,48,랜드 오브 제일,SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이,2025-07-09,49,리니지2 레볼루션,Netmarble
구글플레이,2025-07-09,50,컴투스프로야구V25,Com2uS
구글플레이,2025-07-09,51,버섯커 키우기-3000뽑기 증정,Joy Nice Games
구글플레이,2025-07-09,52,문명: 연맹의 시대,"2K, Inc. - a Take-Two Interactive affiliate"
구글플레이,2025-07-09,53,모에라이: 운명의 계약,Ujoy Games
구글플레이,2025-07-09,54,로얄 킹덤 (Royal Kingdom),"Dream Games, Ltd."
구글플레이,2025-07-09,55,레이븐2,Netmarble
구글플레이,2025-07-09,56,클래시 로얄,Supercell
구글플레이,2025-07-09,57,캔디크러쉬사가 (Candy Crush Saga),King
구글플레이,2025-07-09,58,eFootball™,KONAMI
구글플레이,2025-07-09,59,에그몬 월드:저니,"Apollo Technology Co.,Ltd"
구글플레이,2025-07-09,60,Travel Town - 결합 어드벤처,Magmatic Games LTD
구글플레이,2025-07-09,61,히어로 클래시: 강아지를 지키자,Glaciers Game
구글플레이,2025-07-09,62,블레이드&소울 레볼루션,Netmarble
구글플레이,2025-07-09,63,젠레스 존 제로,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-09,64,콩콩던전,Habby
구글플레이,2025-07-09,65,러브앤딥스페이스,InFold Games
구글플레이,2025-07-09,66,Limbus Company,Project Moon
구글플레이,2025-07-09,67,한게임 신맞고 : 대한민국 원조 고스톱,NHN Corp.
구글플레이,2025-07-09,68,꿈의 집 (Homescapes),Playrix
구글플레이,2025-07-09,69,메카 어셈블:좀비 스웜,ONEMT SGP
구글플레이,2025-07-09,70,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp
구글플레이,2025-07-09,71,궁수의 전설2,Habby
구글플레이,2025-07-09,72,Top Girl,A3Games
구글플레이,2025-07-09,73,컴투스프로야구2025,Com2uS
구글플레이,2025-07-09,74,던전앤파이터 모바일,NEXON Company
구글플레이,2025-07-09,75,서머너즈 워 X TEKKEN 8,Com2uS
구글플레이,2025-07-09,76,사북성:언데드,Star Entertainment HK
구글플레이,2025-07-09,77,삼국지 전략판,Qookka Games
구글플레이,2025-07-09,78,패스 오브 라이징,SPGFun
구글플레이,2025-07-09,79,클래시 오브 클랜,Supercell
구글플레이,2025-07-09,80,꿈의 마을 (Township),Playrix
구글플레이,2025-07-09,81,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED"
구글플레이,2025-07-09,82,데블M,37 Mobile Games
구글플레이,2025-07-09,83,마피아42,TEAM42
구글플레이,2025-07-09,84,기적의 검,4399 KOREA
구글플레이,2025-07-09,85,왔더벅: 미니 삼국-라바 콜라보 실시!,BYTEFUN GAMES PTE. LTD.
